relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,correct_only,cosine,1920,0.04232336940067355,0.06371910670108397,0.11556351028161364,3.825116967014984e-07,0.023069023831462542,0.08561102913290419,0.0017912675974258707
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,correct_only,cosine,6577,0.12494033991717221,2.6867275857586828e-24,0.11439845699601242,1.3227726373456749e-20,0.05575959225877374,0.09985325879503278,0.015610088538618533
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,correct_only,euclidean,2239,-0.012588444284113081,0.5516082868435783,0.025721387728806087,0.22375335638336832,-1.7883601315707014e-06,0.11717192669349291,0.00015846892949421948
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,correct_only,euclidean,2418,-0.0544219584305518,0.007435121744983394,-0.0917489647442312,6.2194802440138425e-06,-1.494088510695624e-05,0.10802354177557692,0.0029617495594167114
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,correct_only,euclidean,1920,-0.09580788429259865,2.6104378556369936e-05,-0.13442275178208385,3.356688229280534e-09,-0.00047292755891013366,0.07648280405720001,0.009179150692623966
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,correct_only,euclidean,6577,-0.02567270774242751,0.037345142096390144,-0.057137813762339534,3.5399849324850174e-06,-5.413333989435129e-06,0.10426437211425735,0.0006590879228280964
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,label_based,cosine,2500,0.4663858679078176,3.053116393186143e-135,0.4107597343217676,2.242619873863188e-102,0.2414663300757312,0.0889369068546514,0.21751577778412834
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,label_based,cosine,2500,0.48364199050861345,9.633235366313751e-147,0.4420413871139105,4.2265300290052145e-120,0.18827133828307183,0.03817080792828273,0.23390957498313392
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,label_based,cosine,2500,0.47331021452452093,8.889458697439053e-140,0.45740997445492015,1.6256096234593497e-129,0.7981088614112002,0.05076376139429784,0.22402255917324798
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,label_based,cosine,7500,0.40031057411526555,1.0068157910284282e-286,0.3762386247589785,7.512004748016822e-251,0.19017086734445557,0.07201788348009933,0.16024855574849337
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,label_based,euclidean,2500,-0.002332250237922077,0.9072132139178717,0.4135658918790873,6.859327062918975e-104,-1.5736594516056131e-06,0.11256852225818444,5.439391172287662e-06
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,label_based,euclidean,2500,-0.06821547947143566,0.0006424150950593801,0.21790368198939672,2.978694059546554e-28,-3.461251718269398e-05,0.10620970933261795,0.0046533516395178606
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,label_based,euclidean,2500,0.13573151332234695,9.4434363877893e-12,0.2057198767150081,2.690926540857636e-25,0.0051242463692559815,0.08708951858289808,0.018423043708774456
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,label_based,euclidean,7500,-0.0351330029091219,0.0023420155893029695,0.2801280368307494,2.8801722798513514e-135,-2.4105311886267213e-05,0.1046213638460219,0.0012343278934123663
