relationship,x_metric,y_metric,model,prototype_type,distance,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,label_based,cosine,1440,-0.0458787462254194,0.0817922143706674,-0.035713982762683796,0.17557514222904463,-0.01823634252307973,0.12130668765379526,0.0021048593552164337
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,label_based,cosine,4320,-0.2639379183599746,9.028309648187828e-70,-0.23708842202226735,2.9020471209968326e-56,-0.10016270591810247,0.1595147393677384,0.06966322474819668
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,deepconvnet,label_based,euclidean,1440,-0.3235573229674937,1.90380087491562e-36,-0.27865040006803365,4.323130181485968e-27,-0.12158690970950471,0.19143071226856562,0.10468934124589112
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,eegnet,label_based,euclidean,1440,-0.41415506366623334,8.861176637209778e-61,-0.3641177221012331,2.2188892038797028e-46,-0.18164143365040455,0.19425663956793948,0.17152441676038183
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,fbcnet,label_based,euclidean,1440,-0.0458787462254194,0.0817922143706674,-0.035713982762683796,0.17557514222904463,-0.01823634252307973,0.12130668765379526,0.0021048593552164337
prototype_direction_cosine_vs_acc_drop,prototype_direction_cosine,acc_drop,ALL,label_based,euclidean,4320,-0.2639379183599746,9.028309648187828e-70,-0.23708842202226735,2.9020471209968326e-56,-0.10016270591810247,0.1595147393677384,0.06966322474819668
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,confidence_weighted,cosine,1440,0.5428105238836296,3.922452435670646e-111,0.5173710805573987,2.1446695450720877e-99,0.41926491033145363,0.07676846308567706,0.29464326483882064
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,confidence_weighted,cosine,1440,0.5424147915377218,6.080429102589194e-111,0.5777777597869191,5.2436206323745347e-129,0.2815546395567622,0.01586563602883119,0.2942138060789102
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,confidence_weighted,cosine,1440,0.27081593073533516,1.2645401557021558e-25,0.3228020696576365,2.823802986699234e-36,0.24105147794999682,0.08889815253154532,0.07334126834004585
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,confidence_weighted,cosine,4320,0.41171176794247843,2.070314042902166e-176,0.39209969725249516,9.303619916530699e-159,0.24133634927450553,0.07104611089462809,0.16950657986232134
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,confidence_weighted,euclidean,1440,0.06424798334078588,0.014750730322761132,0.5626561285314787,5.148272106243612e-121,9.441735371088408e-05,0.12127484385340742,0.004127803363357902
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,confidence_weighted,euclidean,1440,0.015218572172095338,0.5639150563734231,0.2675354785988911,5.031134805240802e-25,2.0930305047832725e-05,0.10646907202845594,0.0002316049389572745
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,confidence_weighted,euclidean,1440,0.3488367956271211,1.8282179174782407e-42,0.3013854515708402,1.2753331147443019e-31,0.026380508312855037,0.0686213991615118,0.12168710998339782
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,confidence_weighted,euclidean,4320,0.03573535510652478,0.018832114980554263,0.37710276500151096,4.792631895931955e-146,5.871905238432143e-05,0.11465030221424746,0.0012770156045894246
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,correct_only,cosine,1429,0.26765412981888625,7.232916103688131e-25,0.21726580978352877,9.954855152869109e-17,0.20995781045999445,0.11685056817279567,0.07163873320910519
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,correct_only,cosine,1431,0.36448433152476145,3.3841983604651958e-46,0.3784563988755,5.974696538544927e-50,0.20584784557233463,0.07305882483047471,0.13284882792705213
separation_change_vs_acc_drop,separation_change,acc_drop,fbcnet,correct_only,cosine,1395,0.056794372705849305,0.03391647536560774,0.13756440491973437,2.497044183274569e-07,0.02972840191836234,0.11130815537063281,0.0032256007710509175
separation_change_vs_acc_drop,separation_change,acc_drop,ALL,correct_only,cosine,4255,0.22641760663600558,1.3475076094097163e-50,0.22786047153136973,3.079854743178325e-51,0.13164771811308906,0.10397098474810026,0.05126493259477688
separation_change_vs_acc_drop,separation_change,acc_drop,deepconvnet,correct_only,euclidean,1429,0.0027882641231488613,0.9161296274941266,0.14499055679015138,3.6860709304066383e-08,2.4940923792781914e-06,0.12115718569634867,7.774416820439098e-06
separation_change_vs_acc_drop,separation_change,acc_drop,eegnet,correct_only,euclidean,1431,-0.01762601651884678,0.5052603148097506,-0.018650329213431988,0.48083519401547903,-2.182667682112092e-05,0.10656593750588511,0.0003106764583226604
