method,subject,acc_mean,none_acc_mean,gain_acc_mean
filterbank_reweighting,sub-037,0.6996666666666667,0.7914761904761906,-0.09180952380952381
filterbank_reweighting,sub-038,0.5054761904761905,0.5139523809523809,-0.008476190476190477
filterbank_reweighting,sub-039,0.5376666666666666,0.5093809523809524,0.028285714285714282
filterbank_reweighting,sub-040,0.7206666666666667,0.6601904761904761,0.060476190476190475
filterbank_reweighting,sub-041,0.7633333333333334,0.8203809523809524,-0.05704761904761905
filterbank_reweighting,sub-042,0.6833809523809523,0.6168571428571428,0.06652380952380951
filterbank_reweighting,sub-043,0.9738571428571429,0.9337619047619048,0.040095238095238094
filterbank_reweighting,sub-044,0.5806666666666667,0.6027619047619047,-0.022095238095238095
filterbank_reweighting,sub-045,0.7597619047619049,0.7411428571428571,0.01861904761904762
filterbank_reweighting,sub-046,0.9593333333333334,0.9452857142857143,0.014047619047619052
filterbank_reweighting,sub-047,0.8493333333333333,0.7673333333333333,0.08199999999999999
filterbank_reweighting,sub-048,0.6542380952380952,0.6983809523809523,-0.04414285714285715
filterbank_reweighting,sub-049,0.8033333333333332,0.7067142857142857,0.09661904761904762
filterbank_reweighting,sub-050,0.880095238095238,0.8423809523809525,0.03771428571428572
filterbank_reweighting,sub-051,0.7960952380952381,0.7413333333333334,0.054761904761904755
riemannian_alignment,sub-001,0.7478095238095238,0.7571428571428571,-0.009333333333333334
riemannian_alignment,sub-002,0.5673333333333334,0.5828571428571429,-0.015523809523809527
riemannian_alignment,sub-003,0.6603333333333333,0.7182380952380953,-0.0579047619047619
riemannian_alignment,sub-004,0.4999523809523809,0.5074285714285715,-0.007476190476190477
riemannian_alignment,sub-005,0.7140952380952381,0.7183809523809525,-0.004285714285714283
riemannian_alignment,sub-006,0.8503809523809525,0.7886666666666667,0.06171428571428571
riemannian_alignment,sub-007,0.670952380952381,0.6696666666666666,0.0012857142857142878
riemannian_alignment,sub-008,0.661047619047619,0.6498571428571428,0.011190476190476192
riemannian_alignment,sub-009,0.5664761904761905,0.5965714285714285,-0.03009523809523809
riemannian_alignment,sub-010,0.5790952380952381,0.5714761904761905,0.007619047619047617
riemannian_alignment,sub-011,0.743,0.7561904761904762,-0.013190476190476193
riemannian_alignment,sub-012,0.5065714285714286,0.5187619047619048,-0.012190476190476198
riemannian_alignment,sub-013,0.6285238095238096,0.6477142857142858,-0.019190476190476185
riemannian_alignment,sub-014,0.5004761904761904,0.5005714285714286,-9.523809523809532e-05
riemannian_alignment,sub-015,0.5632857142857143,0.5694761904761905,-0.0061904761904761855
riemannian_alignment,sub-016,0.5168095238095238,0.5246666666666667,-0.00785714285714286
riemannian_alignment,sub-017,0.6681428571428571,0.647952380952381,0.020190476190476193
riemannian_alignment,sub-018,0.5619999999999999,0.5882380952380952,-0.026238095238095237
riemannian_alignment,sub-019,0.6186190476190476,0.6194761904761905,-0.0008571428571428473
riemannian_alignment,sub-020,0.5696666666666667,0.5553809523809523,0.014285714285714287
riemannian_alignment,sub-021,0.6358571428571429,0.6325238095238096,0.0033333333333333266
riemannian_alignment,sub-022,0.595,0.593952380952381,0.0010476190476190507
riemannian_alignment,sub-023,0.754,0.7696666666666666,-0.015666666666666662
riemannian_alignment,sub-025,0.7713809523809524,0.7596190476190476,0.01176190476190476
