model,protocol,subject,session,train_session,test_session,seed,fold,n_train,n_val,n_test,best_epoch,accuracy,balanced_accuracy,macro_f1,auc,nll,brier,ece
deepconvnet,cross_session,sub-024,,ses-01,ses-03,3,,59,15,83,1,0.578313,0.575581,0.574359,0.579651,0.689544,0.493942,0.056250
deepconvnet,cross_session,sub-024,,ses-01,ses-04,3,,59,15,98,1,0.510204,0.510833,0.510000,0.488750,0.720222,0.526216,0.161759
deepconvnet,cross_session,sub-024,,ses-01,ses-05,3,,59,15,100,1,0.490000,0.490000,0.487489,0.506400,0.718500,0.523310,0.149688
deepconvnet,cross_session,sub-024,,ses-02,ses-01,3,,65,17,74,6,0.554054,0.535897,0.485570,0.424176,0.886007,0.624377,0.273199
deepconvnet,cross_session,sub-024,,ses-02,ses-03,3,,65,17,83,6,0.518072,0.516570,0.516317,0.515698,0.815734,0.589674,0.193792
deepconvnet,cross_session,sub-024,,ses-02,ses-04,3,,65,17,98,6,0.510204,0.513333,0.500000,0.491667,0.908490,0.645076,0.223469
deepconvnet,cross_session,sub-024,,ses-02,ses-05,3,,65,17,100,6,0.560000,0.560000,0.485741,0.574000,0.782638,0.572128,0.221771
deepconvnet,cross_session,sub-024,,ses-03,ses-01,3,,66,17,74,12,0.594595,0.586081,0.579545,0.572161,0.921598,0.575544,0.198387
deepconvnet,cross_session,sub-024,,ses-03,ses-02,3,,66,17,82,12,0.487805,0.502990,0.472426,0.506579,1.182426,0.732835,0.332090
deepconvnet,cross_session,sub-024,,ses-03,ses-04,3,,66,17,98,12,0.500000,0.507083,0.436054,0.591667,1.221695,0.745424,0.364324
deepconvnet,cross_session,sub-024,,ses-03,ses-05,3,,66,17,100,12,0.600000,0.600000,0.592003,0.572800,0.989904,0.623457,0.221122
deepconvnet,cross_session,sub-024,,ses-04,ses-01,3,,78,20,74,1,0.472973,0.483883,0.456190,0.553846,0.695328,0.502146,0.060162
deepconvnet,cross_session,sub-024,,ses-04,ses-02,3,,78,20,82,1,0.487805,0.485048,0.485048,0.439593,0.707052,0.513728,0.093383
deepconvnet,cross_session,sub-024,,ses-04,ses-03,3,,78,20,83,1,0.554217,0.557558,0.551875,0.602326,0.676435,0.483471,0.032829
deepconvnet,cross_session,sub-024,,ses-04,ses-05,3,,78,20,100,1,0.480000,0.480000,0.478121,0.471200,0.710383,0.516803,0.072683
deepconvnet,cross_session,sub-024,,ses-05,ses-01,3,,80,20,74,2,0.500000,0.475824,0.355916,0.384615,0.824536,0.609744,0.226720
deepconvnet,cross_session,sub-024,,ses-05,ses-02,3,,80,20,82,2,0.609756,0.627392,0.594310,0.681818,0.675291,0.478719,0.140909
deepconvnet,cross_session,sub-024,,ses-05,ses-03,3,,80,20,83,2,0.493976,0.497674,0.490351,0.509884,0.830184,0.590748,0.180864
deepconvnet,cross_session,sub-024,,ses-05,ses-04,3,,80,20,98,2,0.510204,0.503333,0.443182,0.514583,0.951746,0.606163,0.190431
deepconvnet,cross_session,sub-025,,ses-01,ses-02,3,,70,18,92,1,0.500000,0.509220,0.397151,0.453901,0.755234,0.557249,0.158779
deepconvnet,cross_session,sub-025,,ses-01,ses-03,3,,70,18,94,1,0.446809,0.454710,0.363542,0.513587,0.758131,0.559042,0.199970
deepconvnet,cross_session,sub-025,,ses-01,ses-04,3,,70,18,88,1,0.500000,0.490439,0.385397,0.497158,0.743674,0.544509,0.140817
