model,subject,session,mean_acc,std_acc,mean_bacc,mean_f1,mean_auc
eegnet,sub-008,ses-02,0.8619999999999999,0.023874672772626587,0.8619999999999999,0.8581839600000001,0.9278000000000001
eegnet,sub-008,ses-03,0.9099999999999999,0.017677669529663705,0.9099999999999999,0.9093320199999999,0.9517999999999999
eegnet,sub-009,ses-01,0.748,0.010954451150103309,0.748,0.7458494,0.8141999999999999
eegnet,sub-009,ses-02,0.741,0.006519202405202648,0.741,0.73658128,0.8206
eegnet,sub-009,ses-03,0.523,0.05943483826847687,0.523,0.51042548,0.5622
eegnet,sub-010,ses-01,0.741,0.02103568396796267,0.741,0.7379659399999999,0.7962
eegnet,sub-010,ses-02,0.9099999999999999,0.011726039399558569,0.9099999999999999,0.9095494000000001,0.9603999999999999
eegnet,sub-010,ses-03,0.765,0.02236067977499791,0.765,0.76154802,0.8442000000000001
eegnet,sub-011,ses-01,0.929,0.0041833001326703565,0.929,0.9285073,0.9826
eegnet,sub-011,ses-02,0.759,0.02747726332806823,0.759,0.7528156,0.8024000000000001
eegnet,sub-011,ses-03,0.982,0.007582875444051509,0.982,0.98195498,0.9937999999999999
eegnet,sub-012,ses-01,0.502,0.03510697936308393,0.502,0.49156132,0.4885999999999999
eegnet,sub-012,ses-02,0.499,0.04642197755374066,0.499,0.48863328,0.515
eegnet,sub-012,ses-03,0.5740000000000001,0.05941380311005181,0.5740000000000001,0.56926926,0.6093999999999999
eegnet,sub-013,ses-01,0.7859999999999999,0.032287768581925856,0.7859999999999999,0.78431682,0.8664
eegnet,sub-013,ses-02,0.825,0.01695582495781315,0.825,0.8224185399999999,0.9262
eegnet,sub-013,ses-03,0.8559999999999999,0.0302902624617219,0.8559999999999999,0.85429606,0.9288000000000001
eegnet,sub-014,ses-01,0.521,0.044073801742078006,0.521,0.51275262,0.5386
eegnet,sub-014,ses-02,0.491,0.027248853186877434,0.491,0.47745440000000006,0.488
eegnet,sub-014,ses-03,0.499,0.04292435206266948,0.499,0.48542862,0.4928
eegnet,sub-015,ses-01,0.7270000000000001,0.05007494383421715,0.7270000000000001,0.72298202,0.7924
eegnet,sub-015,ses-02,0.761,0.03228776858192586,0.761,0.75799274,0.8160000000000001
eegnet,sub-015,ses-03,0.576,0.042924352062669514,0.576,0.50045162,0.6113999999999999
eegnet,sub-016,ses-01,0.72,0.02121320343559642,0.72,0.71699772,0.7504
eegnet,sub-016,ses-02,0.5589999999999999,0.02902585054739998,0.5589999999999999,0.55213658,0.588
eegnet,sub-016,ses-03,0.523,0.034022051672408,0.523,0.5112247400000001,0.554
eegnet,sub-017,ses-01,0.728,0.025149552679918613,0.728,0.72206458,0.7994
eegnet,sub-017,ses-02,0.807,0.016431676725154967,0.807,0.80554656,0.8924
eegnet,sub-017,ses-03,0.806,0.02408318915758459,0.806,0.80472992,0.9118
eegnet,sub-018,ses-01,0.681,0.027703790354390113,0.681,0.67325724,0.7612
eegnet,sub-018,ses-02,0.709,0.02012461179749813,0.709,0.70536828,0.753
eegnet,sub-018,ses-03,0.619,0.04979959839195489,0.619,0.61374468,0.6756
eegnet,sub-019,ses-01,0.568,0.023345235059857455,0.568,0.55673322,0.571
eegnet,sub-019,ses-02,0.757,0.026362852652928127,0.757,0.75416462,0.8173999999999999
eegnet,sub-019,ses-03,0.916,0.011401754250991396,0.916,0.91505574,0.9621999999999999
eegnet,sub-020,ses-01,0.9640000000000001,0.0074161984870956595,0.9640000000000001,0.9638591999999999,0.9945999999999999
eegnet,sub-020,ses-02,0.9720000000000001,0.00670820393249933,0.9720000000000001,0.9719499599999999,0.9916
eegnet,sub-020,ses-03,0.95,0.0061237243569579585,0.95,0.94979262,0.9927999999999999
eegnet,sub-021,ses-01,0.773,0.039623225512317915,0.773,0.77000488,0.8508000000000001
eegnet,sub-021,ses-02,0.786,0.022748626332154638,0.786,0.78445772,0.8645999999999999
eegnet,sub-021,ses-03,0.876,0.01083974169433943,0.876,0.87501052,0.9378
eegnet,sub-022,ses-01,0.767,0.010368220676663865,0.767,0.76437442,0.8276
eegnet,sub-022,ses-02,0.796,0.026315394733881576,0.796,0.7917820600000001,0.8714000000000001
eegnet,sub-022,ses-03,0.766,0.04037325847637275,0.766,0.76365532,0.8336
eegnet,sub-023,ses-02,0.9109999999999999,0.01635542723379613,0.9109999999999999,0.91060248,0.9676
eegnet,sub-023,ses-03,0.96,0.006123724356958002,0.96,0.9597782,0.9885999999999999
eegnet,sub-024,ses-01,0.96,0.009354143466934877,0.96,0.95984918,0.9938
eegnet,sub-025,ses-01,0.9,0.014577379737113245,0.9,0.89954106,0.951
eegnet,sub-025,ses-02,0.9359999999999999,0.010839741694339357,0.9359999999999999,0.9355093,0.9736
eegnet,sub-025,ses-03,0.891,0.018841443681416714,0.891,0.8901144999999999,0.9586
eegnet,sub-026,ses-02,0.931,0.011401754250991394,0.931,0.93065388,0.9734
eegnet,sub-026,ses-03,0.9570000000000001,0.017888543819998333,0.9570000000000001,0.9567387199999999,0.9836
eegnet,sub-027,ses-01,0.7929999999999999,0.012549900398011132,0.7929999999999999,0.7908388399999999,0.8746
eegnet,sub-027,ses-02,0.731,0.04114000486144846,0.731,0.7291949600000001,0.7776
eegnet,sub-027,ses-03,0.861,0.023021728866442697,0.861,0.8601140399999998,0.9364000000000001
eegnet,sub-028,ses-01,0.8949999999999999,0.007071067811865481,0.8949999999999999,0.8941959799999999,0.9460000000000001
eegnet,sub-028,ses-02,0.85,0.016955824957813146,0.85,0.8483921999999999,0.9134
eegnet,sub-028,ses-03,0.7100000000000001,0.05196152422706635,0.7100000000000001,0.7032575600000001,0.7798
eegnet,sub-029,ses-01,0.852,0.027522717889045818,0.852,0.8506778799999999,0.9129999999999999
eegnet,sub-029,ses-02,0.9400000000000001,0.012747548783981896,0.9400000000000001,0.93957868,0.9886000000000001
eegnet,sub-029,ses-03,0.951,0.015572411502397425,0.951,0.95067268,0.9833999999999999
eegnet,sub-030,ses-01,0.6769999999999999,0.10657157219446473,0.6769999999999999,0.58286964,0.9865999999999999
eegnet,sub-030,ses-02,0.9030000000000001,0.010954451150103331,0.9030000000000001,0.9023899200000001,0.9676
eegnet,sub-030,ses-03,0.9289999999999999,0.01294217910554476,0.9289999999999999,0.92846974,0.9776
eegnet,sub-031,ses-01,0.791,0.018506755523321757,0.791,0.7890903199999999,0.8714000000000001
eegnet,sub-031,ses-02,0.82,0.011180339887498886,0.82,0.81782446,0.9076000000000001
eegnet,sub-031,ses-03,0.8280000000000001,0.019874606914351826,0.8280000000000001,0.8267670199999999,0.898
eegnet,sub-032,ses-01,0.631,0.013874436925511616,0.631,0.62572902,0.6608
eegnet,sub-032,ses-03,0.7689999999999999,0.02770379035439014,0.7689999999999999,0.76665306,0.8364
eegnet,sub-033,ses-01,0.9259999999999999,0.019811612756158947,0.9259999999999999,0.92561518,0.9746
eegnet,sub-033,ses-02,0.958,0.01524795068197693,0.958,0.95774198,0.9822
eegnet,sub-033,ses-03,0.953,0.00758287544405155,0.953,0.95270334,0.9890000000000001
eegnet,sub-034,ses-01,0.732,0.032519225083018216,0.732,0.72805532,0.7998000000000001
eegnet,sub-034,ses-02,0.8789999999999999,0.023291629397704253,0.8789999999999999,0.8781072200000001,0.9381999999999999
eegnet,sub-034,ses-03,0.905,0.011180339887498914,0.905,0.904501,0.966
eegnet,sub-035,ses-01,0.9720000000000001,0.004472135954999527,0.9720000000000001,0.97191476,0.9975999999999999
eegnet,sub-035,ses-02,0.9789999999999999,0.008215838362577523,0.9789999999999999,0.9789624800000001,0.9958
eegnet,sub-035,ses-03,0.9,0.05184110338331926,0.9,0.8985832199999999,0.9481999999999999
eegnet,sub-036,ses-01,0.842,0.02167948338867878,0.842,0.84030916,0.8994
eegnet,sub-036,ses-02,0.9399999999999998,0.013228756555322928,0.9399999999999998,0.9397423,0.9846
eegnet,sub-036,ses-03,0.974,0.009617692030835685,0.974,0.9738842,0.9877
eegnet,sub-037,ses-01,0.835,0.03427827300200516,0.835,0.82599618,0.9314
eegnet,sub-037,ses-02,0.9109999999999999,0.01193733638631338,0.9109999999999999,0.9103714,0.9768000000000001
eegnet,sub-037,ses-03,0.9179999999999999,0.009746794344808993,0.9179999999999999,0.9174988199999999,0.9635999999999999
eegnet,sub-038,ses-01,0.516,0.05424481542046208,0.516,0.48286436000000005,0.4974
eegnet,sub-038,ses-02,0.785,0.016201851746019666,0.785,0.78240284,0.8593999999999999
eegnet,sub-038,ses-03,0.8859999999999999,0.017818529681205512,0.8859999999999999,0.88489234,0.9558
eegnet,sub-039,ses-01,0.753,0.034749100707788125,0.753,0.7505261799999999,0.8098000000000001
eegnet,sub-039,ses-02,0.859,0.010839741694339404,0.859,0.8581789799999999,0.9418
eegnet,sub-039,ses-03,0.7,0.02598076211353318,0.7,0.6961305999999999,0.7726
eegnet,sub-040,ses-01,0.7230000000000001,0.025641762809916178,0.7230000000000001,0.7186836600000001,0.7984
eegnet,sub-040,ses-02,0.627,0.024135036772294338,0.627,0.62086874,0.6606
eegnet,sub-040,ses-03,0.726,0.021621748310439642,0.726,0.7228128199999999,0.8065999999999999
eegnet,sub-041,ses-01,0.8949999999999999,0.01274754878398195,0.8949999999999999,0.8944303399999999,0.9576
eegnet,sub-041,ses-02,0.858,0.016046806535881315,0.858,0.8568227,0.9289999999999999
eegnet,sub-041,ses-03,0.875,0.011726039399558581,0.875,0.8737490000000001,0.9478
eegnet,sub-042,ses-01,0.7070000000000001,0.026124700955226232,0.7070000000000001,0.7023651799999999,0.7638
eegnet,sub-042,ses-02,0.6759999999999999,0.025836021365527633,0.6759999999999999,0.67031754,0.725
eegnet,sub-042,ses-03,0.683,0.01955760721560792,0.683,0.6793534999999999,0.727
eegnet,sub-043,ses-01,0.9630000000000001,0.01095445115010336,0.9630000000000001,0.96284648,0.993
eegnet,sub-043,ses-02,0.9720000000000001,0.00836660026534082,0.9720000000000001,0.9719248,0.9938
eegnet,sub-043,ses-03,0.96,0.009354143466934898,0.96,0.95973104,0.9826
eegnet,sub-044,ses-01,0.558,0.031741140496207736,0.558,0.55220052,0.5796
eegnet,sub-044,ses-02,0.692,0.026362852652928148,0.692,0.6886548400000001,0.7712
eegnet,sub-044,ses-03,0.725,0.03905124837953328,0.725,0.72172132,0.7952
eegnet,sub-045,ses-01,0.8370000000000001,0.02906888370749731,0.8370000000000001,0.83633662,0.9119999999999999
eegnet,sub-045,ses-02,0.7779999999999999,0.0075828754440515145,0.7779999999999999,0.77657244,0.8427999999999999
eegnet,sub-045,ses-03,0.885,0.02371708245126289,0.885,0.88436638,0.9428000000000001
eegnet,sub-046,ses-01,0.982,0.009082951062292434,0.982,0.98189344,0.9972000000000001
eegnet,sub-046,ses-02,0.984,0.004183300132670361,0.984,0.983975,0.9982000000000001
eegnet,sub-046,ses-03,0.9490000000000001,0.012942179105544797,0.9490000000000001,0.9487962,0.9768000000000001
eegnet,sub-047,ses-01,0.837,0.017535677916750193,0.837,0.83567654,0.9102
eegnet,sub-047,ses-02,0.8699999999999999,0.019685019685029503,0.8699999999999999,0.8687644800000001,0.9338000000000001
eegnet,sub-047,ses-03,0.857,0.029706901555025898,0.857,0.85556604,0.9304
eegnet,sub-048,ses-01,0.8459999999999999,0.026551836094703463,0.8459999999999999,0.84498608,0.9057999999999999
eegnet,sub-048,ses-02,0.8470000000000001,0.01036822067666383,0.8470000000000001,0.8457760000000001,0.9057999999999999
eegnet,sub-048,ses-03,0.8630000000000001,0.030740852297878773,0.8630000000000001,0.8611261000000001,0.9486000000000001
eegnet,sub-049,ses-01,0.907,0.012549900398011174,0.907,0.90624544,0.9464
eegnet,sub-049,ses-02,0.853,0.014404860290887953,0.853,0.8517127,0.9362
eegnet,sub-049,ses-03,0.909,0.01557241150239745,0.909,0.90867354,0.9626000000000001
eegnet,sub-050,ses-01,0.893,0.00908295106229247,0.893,0.89208946,0.9398
eegnet,sub-050,ses-02,0.951,0.008215838362577475,0.951,0.9508154799999999,0.9937999999999999
eegnet,sub-050,ses-03,0.945,0.007905694150420979,0.945,0.94462334,0.9894000000000001
eegnet,sub-051,ses-01,0.8719999999999999,0.018234582528810408,0.8719999999999999,0.87101722,0.9276
eegnet,sub-051,ses-02,0.805,0.028722813232690134,0.805,0.8027651600000001,0.8899999999999999
eegnet,sub-051,ses-03,0.8710000000000001,0.020432816741702563,0.8710000000000001,0.87013078,0.9396000000000001
fbcnet,sub-001,ses-01,0.6859999999999999,0.03342902930089353,0.6859999999999999,0.68044946,0.7806
fbcnet,sub-001,ses-02,0.8460000000000001,0.011937336386313304,0.8460000000000001,0.8449484,0.9151999999999999
fbcnet,sub-001,ses-03,0.8629999999999999,0.01643167672515502,0.8629999999999999,0.8614016400000001,0.9481999999999999
fbcnet,sub-002,ses-01,0.549,0.02631539473388154,0.549,0.5369168,0.5662
fbcnet,sub-002,ses-02,0.504,0.03612478373637688,0.504,0.48576984,0.5022
fbcnet,sub-002,ses-03,0.627,0.03327912258458747,0.627,0.61714566,0.6804
fbcnet,sub-003,ses-01,0.7969999999999999,0.0195576072156079,0.7969999999999999,0.7942266200000001,0.8734
fbcnet,sub-003,ses-02,0.8390000000000001,0.0065192024052026214,0.8390000000000001,0.83741934,0.9084
fbcnet,sub-003,ses-03,0.792,0.05032395056034453,0.792,0.77973388,0.8682000000000001
fbcnet,sub-004,ses-01,0.534,0.03209361307176244,0.534,0.5231089800000001,0.5366
fbcnet,sub-004,ses-02,0.517,0.02387467277262666,0.517,0.50294318,0.5172000000000001
fbcnet,sub-004,ses-03,0.489,0.017818529681205477,0.489,0.4741302,0.4742
fbcnet,sub-005,ses-01,0.8150000000000001,0.018708286933869698,0.8150000000000001,0.81390446,0.8832000000000001
fbcnet,sub-005,ses-02,0.8220000000000001,0.018234582528810467,0.8220000000000001,0.8201659400000001,0.8949999999999999
fbcnet,sub-005,ses-03,0.8140000000000001,0.025099800796022264,0.8140000000000001,0.81232832,0.8869999999999999
fbcnet,sub-006,ses-01,0.899,0.026076809620810555,0.899,0.89823304,0.9671999999999998
