Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models fbcnet --seeds 0 --protocols single,multi --tag-suffix session_zscore_fbcnet_s0
Node   : gpu01 | Start: Tue Jun  9 03:45:04 CST 2026
Tue Jun  9 03:45:04 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 81%   48C    P0             74W /  425W |       1MiB /  24564MiB |     14%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 03:55:22 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-014_ses01-to-ses03 seed=0 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:26 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-014_ses02-to-ses01 seed=0 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:31 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-014_ses02-to-ses03 seed=0 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:35 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-014_ses03-to-ses01 seed=0 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:39 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-014_ses03-to-ses02 seed=0 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:44 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-015_ses01-to-ses02 seed=0 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:50 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-015_ses01-to-ses03 seed=0 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 03:55:56 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-015_ses02-to-ses01 seed=0 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:01 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-015_ses02-to-ses03 seed=0 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:06 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-015_ses03-to-ses01 seed=0 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:10 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-015_ses03-to-ses02 seed=0 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:14 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-016_ses01-to-ses02 seed=0 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:18 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-016_ses01-to-ses03 seed=0 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:23 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-016_ses02-to-ses01 seed=0 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:27 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-016_ses02-to-ses03 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:32 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-016_ses03-to-ses01 seed=0 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:36 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-016_ses03-to-ses02 seed=0 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 03:56:48 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-017_ses01-to-ses02 seed=0 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 03:57:01 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-017_ses01-to-ses03 seed=0 acc=0.6700 (ntr=160 nval=40 nte=200)
2026-06-09 03:57:08 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-017_ses02-to-ses01 seed=0 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 03:57:16 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-017_ses02-to-ses03 seed=0 acc=0.6450 (ntr=160 nval=40 nte=200)
