Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods filterbank_reweighting --models fbcnet --seeds 4 --protocols single,multi --tag-suffix filterbank_reweighting_fbcnet_s4
Node   : gpu01 | Start: Tue Jun  9 18:22:47 CST 2026
Tue Jun  9 18:22:48 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 40%   45C    P0             59W /  425W |       1MiB /  24564MiB |     12%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 18:32:25 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-011_ses02-to-ses01 seed=4 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 18:32:31 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-011_ses02-to-ses03 seed=4 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 18:32:39 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-011_ses03-to-ses01 seed=4 acc=0.7250 (ntr=160 nval=40 nte=200)
2026-06-09 18:32:47 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-011_ses03-to-ses02 seed=4 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 18:32:54 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-012_ses01-to-ses02 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:00 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-012_ses01-to-ses03 seed=4 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:05 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-012_ses02-to-ses01 seed=4 acc=0.4300 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:10 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-012_ses02-to-ses03 seed=4 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:16 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-012_ses03-to-ses01 seed=4 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:21 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-012_ses03-to-ses02 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:28 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-013_ses01-to-ses02 seed=4 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:34 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-013_ses01-to-ses03 seed=4 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:42 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-013_ses02-to-ses01 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:49 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-013_ses02-to-ses03 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:54 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-013_ses03-to-ses01 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:33:59 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-013_ses03-to-ses02 seed=4 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:04 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-014_ses01-to-ses02 seed=4 acc=0.4700 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:09 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-014_ses01-to-ses03 seed=4 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:14 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-014_ses02-to-ses01 seed=4 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:20 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-014_ses02-to-ses03 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:26 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-014_ses03-to-ses01 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:31 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-014_ses03-to-ses02 seed=4 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:37 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-015_ses01-to-ses02 seed=4 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:42 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-015_ses01-to-ses03 seed=4 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:47 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-015_ses02-to-ses01 seed=4 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:52 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-015_ses02-to-ses03 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 18:34:59 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-015_ses03-to-ses01 seed=4 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:05 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-015_ses03-to-ses02 seed=4 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:10 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-016_ses01-to-ses02 seed=4 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:15 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-016_ses01-to-ses03 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:20 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-016_ses02-to-ses01 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:25 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-016_ses02-to-ses03 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:30 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-016_ses03-to-ses01 seed=4 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:35 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-016_ses03-to-ses02 seed=4 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:40 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-017_ses01-to-ses02 seed=4 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:45 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-017_ses01-to-ses03 seed=4 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:50 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-017_ses02-to-ses01 seed=4 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 18:35:55 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-017_ses02-to-ses03 seed=4 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:04 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-017_ses03-to-ses01 seed=4 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:13 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-017_ses03-to-ses02 seed=4 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:18 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-018_ses01-to-ses02 seed=4 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:23 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-018_ses01-to-ses03 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:31 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-018_ses02-to-ses01 seed=4 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:39 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-018_ses02-to-ses03 seed=4 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:44 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-018_ses03-to-ses01 seed=4 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:49 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-018_ses03-to-ses02 seed=4 acc=0.4600 (ntr=160 nval=40 nte=200)
2026-06-09 18:36:55 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-019_ses01-to-ses02 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 18:37:01 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-019_ses01-to-ses03 seed=4 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 18:37:08 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-019_ses02-to-ses01 seed=4 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 18:37:14 | INFO    | train_session_alignment | [align] filterbank_reweighting fbcnet      single_sub-019_ses02-to-ses03 seed=4 acc=0.5700 (ntr=160 nval=40 nte=200)
