Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models deepconvnet --seeds 0 --protocols single,multi --tag-suffix session_zscore_deepconvnet_s0
Node   : gpu01 | Start: Tue Jun  9 02:53:54 CST 2026
Tue Jun  9 02:53:54 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 35%   44C    P0             57W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 03:01:08 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-008_ses03-to-ses01 seed=0 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:14 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-008_ses03-to-ses02 seed=0 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:21 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-009_ses01-to-ses02 seed=0 acc=0.7800 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:28 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-009_ses01-to-ses03 seed=0 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:33 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-009_ses02-to-ses01 seed=0 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:38 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-009_ses02-to-ses03 seed=0 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:43 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-009_ses03-to-ses01 seed=0 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:48 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-009_ses03-to-ses02 seed=0 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:53 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-010_ses01-to-ses02 seed=0 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 03:01:58 | INFO    | train_session_alignment | [align] session_zscore         deepconvnet single_sub-010_ses01-to-ses03 seed=0 acc=0.5150 (ntr=160 nval=40 nte=200)
