Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods euclidean_alignment --models deepconvnet --seeds 2 --protocols single,multi --tag-suffix euclidean_alignment_deepconvnet_s2
Node   : gpu01 | Start: Tue Jun  9 06:07:06 CST 2026
Tue Jun  9 06:07:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:21:00.0 Off |                  Off |
| 30%   43C    P0             65W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 06:15:41 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-013_ses01-to-ses03 seed=2 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 06:15:49 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-013_ses02-to-ses01 seed=2 acc=0.6500 (ntr=160 nval=40 nte=200)
2026-06-09 06:15:58 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-013_ses02-to-ses03 seed=2 acc=0.6450 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:04 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-013_ses03-to-ses01 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:09 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-013_ses03-to-ses02 seed=2 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:15 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-014_ses01-to-ses02 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:22 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-014_ses01-to-ses03 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:27 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-014_ses02-to-ses01 seed=2 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:33 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-014_ses02-to-ses03 seed=2 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:40 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-014_ses03-to-ses01 seed=2 acc=0.4750 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:46 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-014_ses03-to-ses02 seed=2 acc=0.4650 (ntr=160 nval=40 nte=200)
2026-06-09 06:16:53 | INFO    | train_session_alignment | [align] euclidean_alignment    deepconvnet single_sub-015_ses01-to-ses02 seed=2 acc=0.5650 (ntr=160 nval=40 nte=200)
